序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
1,中山区,青泥洼桥街道,大连大学附属中山医院,大连市中山区解放街6号,24小时,62893000
2,中山区,人民路街道,大连市友谊医院,大连市中山区三八广场8号、三八广场8号勤俭街40路车站附近,24小时,82718822-2127、 82718822-2112
3,中山区,葵英街道,大连市中医医院,大连市中山区解放路321号医院停车场入口,24小时,82681738-8124
4,中山区,葵英街道,大连市中山区人民医院,大连市中山区解放路396号,周一至周日8：00-11：30、13：00-16：00,82388912
5,中山区,老虎滩街道,老虎滩街道社区卫生服务中心,大连市中山区中南路172号,周一至周日8：00-11：30、13：00-16：00,82388912
6,中山区,葵英街道,葵英街道社区卫生服务中心,大连市中山区解放路265号,周一至周日8：00-11：30、13：00-16：00,82388912
7,中山区,桃源街道,桃源街道社区卫生服务中心,大连市中山区桃源街23号,周一至周日8：00-11：30、13：00-16：00,82388912
8,中山区,青泥洼桥街道,青泥洼桥街道社区卫生服务中心,大连市中山区白玉街15号,周一至周日8：00-11：30、13：00-16：00,82388912
9,中山区,海军广场街道,海军广场街道社区卫生服务中心,大连市中山区育才街130号,周一至周日8：00-11：30、13：00-16：00,82388912
10,中山区,青泥洼桥街道,大连中山桂林社区医院,大连市中山区杏林街46号,周一至周日8：00-10：30、13：00-16：00,13591182736
11,中山区,青泥洼桥街道,大连火车站出站人员落地核酸采样点（仅检测火车站出站人员）,大连市中山区火车站南广场东侧,周一至周日6:00-22:00（根据列车时刻动态调整）,82860208
12,中山区,青泥洼桥街道,大连站（晶泰医学）采集点,大连市中山区站南广场出租车上车点对面,周一至周日8：00-19:00,18501372482
13,西岗区,人民广场街道,大连医科大学附属第一医院,大连市西岗区中山路222号长春路院区急诊门口采样间（周一至周日全天）,24小时,39077777
14,西岗区,日新街道,大连市中西医结合医院,大连市西岗区宏济街29号医院3号楼,24小时,83631360-3024
15,西岗区,日新街道,大连市妇女儿童医疗中心（集团）儿童院区,大连市西岗区中山路154号C座1楼核酸采样处,24小时,62926141
16,西岗区,白云街道,中国人民解放军联勤保障部队 第九六七医院,大连市西岗区胜利路80号门诊楼前,24小时,80841047（日间） 80841120（夜间）
17,西岗区,八一路街道,八一路社区卫生服务中心,大连市西岗区八一路69号,周一至周五9：00-11：00,82474577
18,西岗区,人民广场街道,北京黄河路社区卫生服务站,大连市西岗区信诚街11号,周二8：00-11：00   周四 8：00-11：00,39627793
19,西岗区,日新街道,日新社区卫生服务中心,大连市西岗区日新街道东关社区黄河路43-1,周一至周五8：30-11：00,83718230
20,西岗区,香炉礁街道,香炉礁社区卫生服务中心核酸采样亭,大连市西岗区香炉礁社区卫生服务中心门前右侧,周一至周五9：00-11：00（节假日除外）,84405176
21,西岗区,人民广场街道,北京长江路社区卫生服务中心,大连市西岗区北京街35-5,周一、周四8：00-10：00,83700573
22,西岗区,白云街道,白云民运社区卫生服务中心,大连市西岗区新华街119号,周一至周五8：30-11：30,83677420
23,西岗区,人民广场街道,石道街社区卫生服务中心核酸,大连市西岗区长春路322号石道街社区卫生服务中心健康教育部后院,周一至周五9：00-11：00（节假日除外）,82495003
24,西岗区,人民广场街道,大连西岗医院采样点,大连市西岗区同仁街47号,周一至周五9：00—11：00、13：00—15：00,15164016218（办公时间）
25,西岗区,日新街道,站北民乐社区卫生服务中心,大连市西岗区胜利街50号,周一至周五8：00-11：00,82145918
26,西岗区,人民广场街道,人民广场长春路社区卫生服务站,大连市西岗区纪念街6号,周一至周五9：00-11：00（节假日除外）,83685817
27,西岗区,白云街道,白云莲花社区卫生服务中心,大连市西岗区康庄街1号,周一至周五7：30-11：00,84359120
28,西岗区,日新街道 ,建设街客运站（晶泰医学）采集点,大连市西岗区建设街26-28号,8：00-19:01,18501372482
29,沙河口区,星海湾街道,大连医科大学附属第二医院,大连市沙河口区中山路467号,24小时,17709870381
30,沙河口区,星海湾街道,大连大学附属新华医院,大连市沙河口区万岁街156号,24小时,84358310
31,沙河口区,春柳街道,大连市中心医院,大连市沙河口区西南路826号,24小时,84412001-8273
32,沙河口区,马栏街道,大连市第五人民医院,大连市沙河口区黄河路890号,24小时,81880298
33,沙河口区,黑石礁街道,黑石礁白云社区卫生服务中心,大连市沙河口区黑石礁街18号,周一至周日8：30-11:30；13：00-16:00,84661929/84689393
34,沙河口区,西安路街道,中山公园联合路社区卫生服务中心,大连市沙河口区联合路127号,周一至周日8：30-11:30；13：00-16:00,84642488
35,沙河口区,马栏街道,马栏黄河路社区卫生服务中心,大连市沙河口区北甸街7号,周一至周日8：30-11:30；13：00-16:00,84244352
36,沙河口区,南沙街道,南沙社区卫生服务中心,大连市沙河口区五一路142-28号,周一至周日8：30-11:30；13：00-16:00,84358441
37,沙河口区,星海湾街道,星海湾富国社区卫生服务中心,大连市沙河口区中山路451-13号,周一至周日8：30-11:30；13：00-16:00,84687889
38,沙河口区,李家街道,李家锦绣社区卫生服务中心,大连市沙河口区锦绣路42号,周一至周日8：30-11:30；13：00-16:00,86834426
39,沙河口区,春柳街道,春柳街道社区卫生服务中心,大连市沙河口区侯一小区花雨街42-46号,周一至周日8：30-11:30；13：00-16:00,84416614
40,沙河口区,马栏街道,大连市沙河口区医院,大连市沙河口区西山街180号,周一至周日 8：30-11:30；13：00-16:00,84640931
41,沙河口区,西安路街道,大连谱尼医学核酸采样点（新长兴市场）,大连市沙河口区新长兴市场（大连市沙河口区鞍山路104号）,"周一至周日08:30-12:00,13:00-17:30",0411-87923651
42,沙河口区,黑石礁街道,大连谱尼医学核酸采样点（黑石礁汽车站）,大连市沙河口区中山路700号,"周一至周日08:30-12:00,13:00-17:00",0411-87923651
43,甘井子区,中华路街道,大连市第三人民医院,大连市甘井子区千山路40号,24小时,86507500
44,甘井子区,椒金山街道,大连市第四人民医院,大连市甘井子区椒金山街道椒北路6号 大连市第四人民医院,24小时,17709899137
45,甘井子区,革镇堡街道,大连市妇女儿童医疗中心（集团）体育新城院区,大连市甘井子区体育新城规划一号路1、3号7号楼,24小时,66860893
