序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
1,中山区,桃源街道,长利社区采样点,大连市中山区长利巷13号党建教育基地,周三、周六8：00-11：30、13：00-18：00,82383589
2,中山区,桃源街道,自由社区采样点,大连市中山区共庆巷16号旁,周三、周六8：00-11：30、13：00-18：00,82382720
3,中山区,桃源街道,秀月社区采样点,大连市中山区明秀庄园,周三、周六8：00-11：30、13：00-18：00,13998449827
4,中山区,桃源街道,洪顺社区采样点,大连市中山区桃仙街43号洪顺社区,周三、周六8：00-11：30、13：00-18：00,82371656
5,中山区,桃源街道,医校社区采样点,大连市中山区解放路655号医校小区,周三、周六8：00-11：30、13：00-18：00,82900096
6,中山区,桃源街道,舰院社区采样点,大连市中山区舰艇学院4号门,周三、周六8：00-11：30、13：00-18：00,80855657
7,中山区,桃源街道,滨海社区采样点,大连市中山区高原街50号滨海社区活动室旁,周三、周六8：00-11：30、13：00-18：00,39807713
8,中山区,桃源街道,环山社区采样点,大连市中山区宪卫里5号环山社区,周三、周六8：00-11：30、13：00-18：00,39986788
9,中山区,桃源街道,高尚社区采样点,大连市中山区景山街24-14,周三、周六8：00-11：30、13：00-18：00,82212944
10,中山区,桃源街道,震海社区采样点,大连市中山区山海巷6号,周三、周六8：00-11：30、13：00-18：00,39982977
11,中山区,桃源街道,桃源社区采样点,大连市中山区桃源里3号,周三、周六8：00-11：30、13：00-18：00,66876327
12,中山区,青泥洼桥街道,望海社区采样点,大连市中山区五五路99-1号,周三、周六8：00-11：30、13：00-18：00,82952331
13,中山区,青泥洼桥街道,枫林社区采样点,大连市中山区气象街22号,周三、周六8：00-11：30、13：00-18：00,82109932
14,中山区,青泥洼桥街道,湖畔社区采样点,大连市中山区五五路46号小广场,周三、周六8：00-11：30、13：00-18：00,82109931
15,中山区,青泥洼桥街道,林景社区采样点,大连市中山区望海街51号西侧,周三、周六8：00-11：30、13：00-18：00,82722962
16,中山区,青泥洼桥街道,解放社区采样点,大连市中山区柳林街14号,周三、周六8：00-11：30、13：00-18：00,82109936
17,中山区,青泥洼桥街道,安民社区采样点,大连市中山区安民街30号旁,周三、周六8：00-11：30、13：00-18：00,65919496
18,中山区,青泥洼桥街道,双合社区采样点,大连市中山区中原街29号,周三、周六8：00-11：30、13：00-18：00,82829509
19,中山区,青泥洼桥街道,青泥社区采样点,大连市中山区青泥洼桥街道大公街13号,周三、周六8：00-11：30、13：00-18：00,82809769
20,中山区,青泥洼桥街道,上海社区采样点,大连市中山区新安街9-2号,周三、周六8：00-11：30、13：00-18：00,82800196
21,中山区,青泥洼桥街道,天津社区采样点,大连市中山区青泥洼桥街道安居巷大院（社区门前）,周三、周六8：00-11：30、13：00-18：00,82821459
