序号,区市县,街道,采样点名称,采样点地址,开放时间,联系电话
1,中山区,青泥洼桥街道,青泥洼桥重点人群采样点,大连市中山区青泥洼桥街道佳兆业天津街271号,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82109915
2,中山区,葵英街道,葵英街道重点人群定期核酸检测点位,大连市中山区葵英街道葵英九号,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82689189
3,中山区,老虎滩街道,老虎滩街道重点人群采样点,大连市中山区老虎滩街道山屏街116号,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82884177
4,中山区,桃源街道,桃源街道重点人群采样点,大连市中山区景山街24-11,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82212944
5,中山区,海军广场街道,二七广场重点人群采样点,大连市中山区良运四季汇步行街华臣影院门前采样房,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82706192
6,中山区,海军广场街道,荣民街重点人群采样点,大连市中山区荣民街与育才街交叉口西北侧采样房,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82549610
7,中山区,人民路街道,人民路重点人群采样点1,大连市中山区新世界后身,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82799100
8,中山区,人民路街道,人民路重点人群采样点2,大连市中山区凯丹北门广场,周二、周三、周五、周日 8：00-11：30；13：00-17：00,82951441
9,中山区,葵英街道,昆明街153号采样点,大连市中山区葵英街道昆明街153号,周一至周日 8：00-11：30、13：00-16：00,82388912
10,西岗区,八一路街道,傅家庄采样点,大连市西岗区傅家庄建行华航街4号旁边（原快客超市）,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,82401892
11,西岗区,人民广场街道,英雄纪念公园检测点,大连市西岗区纪念街98号英雄纪念公园内,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,39675060
12,西岗区,人民广场街道,万达公寓小广场检测点,大连市西岗区长江路539号,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,39675060
13,西岗区,白云街道,石道街社区重点人群核酸检测点,大连市西岗区长春路283路,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,84315079
14,西岗区,日新街道,红岩社区采样点,大连市西岗区红岩警务室旁与胜利桥下空地（松花街25号南侧）,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,83632133
15,西岗区,日新街道,西岗区兴业社区广场采样点,大连市西岗区兴业社区门前广场（西岗区双兴街38号福里幼儿园旁）,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,83011679-203
16,西岗区,香炉礁街道,香锦社区老年健身广场（香炉礁街道）,大连市西岗区香锦街1号,自11月16日开始每逢双日检 8:00-11:30；13:00-16:00    ,39036515
17,沙河口区,西安路街道,西安路街道重点人群核酸检测采样点,大连市沙河口区振工街6号（沙区文化馆北门，缤纷四季小区南门外西侧）,周二、周三、周五、周日8：00-11：30，13：00-17：00,66177929
18,沙河口区,李家街道,李家街道重点人群临时核酸采样点,大连市沙河口区金盾路127-9号,周二、周三、周五、周日8：00-11：30，13：00-17：00,62629105
